iteration,episode,policy,value,entropy
0,-inf,-0.0012543500342871994,1.3061450235545635,-2.1949046701192856
1,-inf,-0.0006327595910988748,0.8429707400500774,-2.193680986762047
2,183.66666666666666,-0.0019201483519282192,0.8294299636036158,-2.1904943883419037
3,229.08333333333334,-0.0016062219074228778,0.8288170024752617,-2.187084160745144
4,239.0,-0.0015301512321457267,0.8531833011657,-2.1832228302955627
5,243.66666666666666,-0.0005911490006837994,0.7559155616909266,-2.1822792813181877
6,224.27272727272728,-0.0006344124267343432,0.7785213887691498,-2.178694911301136
7,226.10714285714286,-0.0009170736884698272,0.7685100380331278,-2.1761200726032257
8,225.70967741935485,-0.0008534270455129445,0.776414917781949,-2.17200880497694
9,223.4179104477612,-0.0016783024766482413,0.8336595147848129,-2.1609919294714928
10,246.05405405405406,-0.0019610379822552204,0.8453995399177074,-2.1457633897662163
11,252.64705882352942,-0.0016242818819591776,0.8252007719129324,-2.1476274207234383
12,265.02197802197804,-0.0023563861032016575,0.8108743987977505,-2.1353621408343315
13,279.63157894736844,-0.0027182884223293513,0.7759348768740892,-2.115251749753952
14,282.4,-0.0018896021938417107,0.7820297554135323,-2.0883910730481148
15,303.2,-0.0007489003037335351,0.8509045448154211,-2.098572112619877
16,327.3,-0.0024398774257861078,0.7850599493831396,-2.0776373967528343
17,343.5,-0.002559614338679239,0.7785894852131605,-2.0740111395716667
18,344.9,-0.0006359380204230547,0.734015928581357,-2.06095452606678
19,355.9,-0.0016178518126253039,0.7562426589429379,-2.071557603776455
20,367.6,-0.0009355669317301363,0.7697510980069637,-2.0602769777178764
21,396.2,-0.0019080057682003826,0.708164144307375,-2.035270892083645
22,413.9,-0.0001669169432716444,0.7429646886885166,-2.0286688581109047
23,422.9,-0.0007812315307091922,0.7334569450467825,-2.0355125591158867
24,414.1,-0.0015501199231948704,0.7556572388857603,-2.0271160677075386
25,433.8,-0.0011008094297721982,0.7772345151752234,-1.9894181564450264
26,437.6,0.0001738016726449132,0.7296742480248213,-2.000854231417179
27,439.6,-0.0022835460549686104,0.7279061283916235,-1.967690970748663
28,447.8,-0.0013305233151186258,0.7447737473994493,-1.990841582417488
29,464.6,-0.0017850773874670267,0.7951424159109592,-1.9944830872118473
30,465.4,-0.0015153707936406136,0.7320808749645948,-1.9473446607589722
31,457.9,0.0007724782626610249,0.7707138992846012,-1.9333292990922928
32,453.5,-0.0033194549760082737,0.7824796829372644,-1.9298562221229076
33,461.3,-0.0007805991335771978,0.7303323559463024,-1.9307744540274143
34,477.6,-0.0012586368393385783,0.7647745255380869,-1.8860274106264114
35,500.1,-0.0006986792286625132,0.7680130172520876,-1.8249049708247185
36,524.4,-0.0004748510546050966,0.7625016588717699,-1.8392725512385368
37,551.9,0.0001393058628309518,0.7365617547184229,-1.8611725978553295
38,552.8,0.00034077337477356195,0.7654387075453997,-1.875971257686615
39,571.6,-0.0005748458206653595,0.7210178729146719,-1.8258295767009258
40,574.2,-3.2820942578837276e-05,0.6956021338701248,-1.8025075607001781
41,579.7,-0.0007239041442517191,0.7557995840907097,-1.8318769112229347
42,590.6,-0.001839002754422836,0.7718438878655434,-1.8644941858947277
43,591.0,-0.002443717239657417,0.7578748799860477,-1.8210640214383602
44,604.9,-0.0007710309291724116,0.7489082794636488,-1.79691980779171
45,608.6,0.0003986884985351935,0.7387974448502064,-1.858953882008791
46,628.8,-0.00030283405794762075,0.8183738216757774,-1.8633213751018047
47,639.7,0.0015114366251509637,0.7654837556183338,-1.8119138106703758
48,658.2,-0.0015764323761686683,0.7537075784057379,-1.8798173628747463
49,674.1,-0.0013624469720525667,0.7500587273389101,-1.8975167460739613
50,692.5,-0.0022976063628448173,0.7881882525980473,-1.870476357638836
