iteration,episode,policy,value,entropy
0,-5.0,-0.0016373192484024912,1.2852427661418915,-1.3840930871665478
1,-4.258064516129032,-0.000570782576687634,0.6054168306291103,-1.384386233985424
2,-4.137931034482759,-0.00044499224168248475,0.6148343626409769,-1.3856553696095943
3,-4.2025316455696204,-0.0014705216453876346,0.6169436704367399,-1.378200963139534
4,-4.03,-0.000306108282529749,0.6205822490155697,-1.373187705874443
5,-3.89,-0.00046993797877803445,0.6103259492665529,-1.3640412092208862
6,-3.69,-0.0012430648203007877,0.5992500111460686,-1.3627981506288052
7,-3.52,-0.0029538957169279456,0.5978785250335932,-1.3446157537400723
8,-3.28,-0.0014361752837430686,0.5876628756523132,-1.332429226487875
9,-3.03,-0.0014348872791742906,0.5722673702985048,-1.3054741844534874
10,-2.68,-0.002810081699863076,0.5432727374136448,-1.3068584501743317
11,-2.33,-0.002149702107999474,0.5259328745305538,-1.2976591475307941
12,-1.79,-0.001699484113487415,0.487869082018733,-1.2646556049585342
13,-1.07,-0.0023113100905902684,0.4753075735643506,-1.206990048289299
14,-0.63,-0.0018256814655615017,0.49638388864696026,-1.2273701056838036
15,0.11,-0.0009155648876912892,0.49369977973401546,-1.2403614781796932
16,0.58,-0.0006301255052676424,0.4874292965978384,-1.2039970085024834
17,1.17,-0.0011896298092324287,0.5099024046212435,-1.2356860861182213
18,1.32,-0.0015425964957103133,0.5105514172464609,-1.2349643371999264
19,1.78,-0.0025879705499392003,0.5000958368182182,-1.2343141846358776
20,1.86,-0.003575991780962795,0.5162910670042038,-1.2271843627095222
21,1.83,-0.0014354943996295333,0.48086023703217506,-1.2277104407548904
22,1.98,-0.0029044458642601967,0.49026088137179613,-1.207707479596138
23,2.22,-0.0024957577261375263,0.46569503750652075,-1.2125088348984718
24,2.24,-0.0030276714387582615,0.47435843478888273,-1.2027704156935215
25,2.19,-0.004099713551113382,0.48166715260595083,-1.2108251601457596
26,2.25,-0.003493457625154406,0.4751062588766217,-1.2288763299584389
27,2.02,-0.003231841081287712,0.48308327980339527,-1.22439419105649
28,2.06,-0.0037699307868024334,0.47901724372059107,-1.2250478006899357
29,2.12,-0.004331312142312527,0.5006747422739863,-1.261132586747408
30,1.86,-0.0057738021278055385,0.5117894019931555,-1.2583975084125996
31,1.79,-0.004054265562444925,0.5053139105439186,-1.2451335154473782
32,1.7,-0.0062088943377602845,0.5274038501083851,-1.2468025907874107
33,1.5,-0.005101175222080201,0.5546668451279402,-1.2177761383354664
34,1.75,-0.007047647726722062,0.5589204356074333,-1.1997164189815521
35,1.78,-0.006960816739592701,0.6011639516800642,-1.1777796745300293
36,1.91,-0.008155555842677131,0.5832693967968225,-1.1635119691491127
37,2.11,-0.007912984903668985,0.5763622894883156,-1.153298445045948
38,2.52,-0.006968382571358234,0.5659006088972092,-1.165996853262186
39,2.88,-0.005964054289506748,0.5652456972748041,-1.1646822467446327
40,3.19,-0.006849132943898439,0.5945615861564875,-1.145400993525982
41,3.69,-0.008548909361707047,0.5934727620333433,-1.1532423235476017
42,3.86,-0.007947466452606022,0.6246912777423859,-1.1565956138074398
43,4.38,-0.007935675894259475,0.6320373900234699,-1.118772491812706
44,4.56,-0.004696497053373605,0.6291171312332153,-1.1408615820109844
45,4.54,-0.009356729016872123,0.6118928175419569,-1.1329457014799118
46,4.54,-0.007577726726594847,0.6315995678305626,-1.1221840046346188
47,4.9,-0.011355662893038243,0.6499666515737772,-1.1359267309308052
48,5.2,-0.010516229725908488,0.6478252429515123,-1.1062538921833038
49,5.12,-0.008231891377363354,0.6348156724125147,-1.1160257868468761
50,5.49,-0.009827946953009814,0.6550487745553255,-1.0898189954459667
51,5.46,-0.011140962538775057,0.6438342276960611,-1.1072782203555107
52,5.68,-0.011253707954892889,0.661711810156703,-1.0719067342579365
53,5.58,-0.011430658720200881,0.663341237232089,-1.0772258453071117
54,5.81,-0.011463961724075489,0.6811170410364866,-1.0752365700900555
55,6.09,-0.011127391888294369,0.6438969802111387,-1.0807299129664898
56,6.52,-0.010098878876306117,0.6340865585952997,-1.0832468681037426
57,6.53,-0.01016398923820816,0.6623189989477396,-1.0728103816509247
