iteration,episode,avg_score,best_score,best_avg_score
1,9,-6.0,-6.0,-6.0
2,28,-6.0,-6.0,-6.0
3,62,-6.0,-6.0,-6.0
4,86,-6.0,-6.0,-6.0
5,118,-6.0,-6.0,-6.0
6,146,-6.0,-6.0,-6.0
7,179,-6.0,-6.0,-6.0
8,208,-6.0,-6.0,-6.0
9,224,-6.0,-6.0,-6.0
10,250,-6.0,-6.0,-6.0
11,275,-6.0,-6.0,-6.0
12,305,-6.0,-6.0,-6.0
13,312,-6.0,-6.0,-6.0
14,327,-6.0,-6.0,-6.0
15,343,-6.0,-6.0,-6.0
16,361,-6.0,-6.0,-6.0
17,374,-6.0,-6.0,-6.0
18,386,-6.0,-6.0,-6.0
19,400,-6.0,-6.0,-6.0
20,411,-6.0,-6.0,-6.0
21,423,-6.0,-6.0,-6.0
22,428,-6.0,-6.0,-6.0
23,431,-6.0,-6.0,-6.0
24,438,-6.0,-6.0,-6.0
25,440,-6.0,-6.0,-6.0
26,442,-6.0,-6.0,-6.0
27,444,-6.0,-6.0,-6.0
28,447,-6.0,-6.0,-6.0
30,450,-6.0,-6.0,-6.0
31,453,-6.0,-6.0,-6.0
33,455,-6.0,-6.0,-6.0
34,456,-6.0,-6.0,-6.0
35,461,-6.0,-6.0,-6.0
36,463,-6.0,-6.0,-6.0
37,467,-6.0,-6.0,-6.0
38,470,-6.0,-6.0,-6.0
39,477,-6.0,-6.0,-6.0
40,479,-6.0,-6.0,-6.0
41,483,-6.0,-6.0,-6.0
42,488,-6.0,-6.0,-6.0
43,493,-6.0,-6.0,-6.0
44,501,-6.0,-6.0,-6.0
45,503,-6.0,-6.0,-6.0
46,509,-6.0,-6.0,-6.0
47,517,-6.0,-6.0,-6.0
48,524,-6.0,-6.0,-6.0
49,531,-6.0,-6.0,-6.0
50,542,-6.0,-6.0,-6.0
51,551,-6.0,-6.0,-6.0
52,561,-6.0,-6.0,-6.0
53,574,-6.0,-6.0,-6.0
54,591,-6.0,-6.0,-6.0
55,604,-5.0,94.0,-5.0
56,619,-5.0,94.0,-5.0
57,637,-5.0,94.0,-5.0
58,661,-5.0,94.0,-5.0
59,675,-5.0,94.0,-5.0
60,683,-5.0,94.0,-5.0
61,692,-5.0,94.0,-5.0
62,706,-6.0,94.0,-5.0
