iteration,episode,avg_score,best_avg_score,best_score
0,0,-inf,-inf,-inf
1,0,-inf,-inf,-inf
2,7,189.85714285714286,189.85714285714286,277.0
3,24,209.5,209.5,287.0
4,29,221.82758620689654,221.82758620689654,307.0
5,32,259.5,259.5,957.0
6,41,256.2682926829268,259.5,957.0
7,54,247.74074074074073,259.5,957.0
8,60,251.83333333333334,259.5,957.0
9,64,257.15625,259.5,957.0
10,74,257.81081081081084,259.5,957.0
11,81,258.1111111111111,259.5,957.0
12,89,264.5280898876405,264.5280898876405,957.0
13,91,269.3076923076923,269.3076923076923,957.0
14,100,277.7,277.7,957.0
15,109,305.2,305.2,1737.0
16,116,319.0,319.0,1737.0
17,122,338.9,338.9,1737.0
18,129,334.2,338.9,1737.0
19,135,333.2,338.9,1737.0
20,143,352.3,352.3,1737.0
21,149,367.2,367.2,1737.0
22,157,394.4,394.4,1737.0
23,166,399.1,399.1,1737.0
24,172,402.7,402.7,1737.0
25,178,406.3,406.3,1737.0
26,186,414.2,414.2,1737.0
27,196,410.1,414.2,1737.0
28,201,421.3,421.3,1737.0
29,207,419.4,421.3,1737.0
30,213,404.5,421.3,1737.0
31,222,394.0,421.3,1737.0
32,230,418.4,421.3,1737.0
33,232,416.3,421.3,1737.0
34,238,412.3,421.3,1737.0
35,252,419.0,421.3,1737.0
36,258,409.9,421.3,1737.0
37,262,413.2,421.3,1737.0
38,268,418.0,421.3,1737.0
39,276,423.7,423.7,1737.0
40,286,434.4,434.4,1737.0
41,294,445.6,445.6,1737.0
42,300,430.0,445.6,1737.0
43,304,435.0,445.6,1737.0
44,313,422.1,445.6,1737.0
45,323,426.9,445.6,1737.0
46,328,442.5,445.6,1737.0
47,335,440.5,445.6,1737.0
48,339,437.4,445.6,1737.0
49,348,434.4,445.6,1737.0
50,353,452.6,452.6,1737.0
51,358,466.6,466.6,1737.0
52,365,491.4,491.4,2207.0
53,374,505.1,505.1,2207.0
54,380,526.3,526.3,2207.0
55,383,525.2,526.3,2207.0
56,392,551.7,551.7,2207.0
57,399,561.0,561.0,2207.0
58,408,596.4,596.4,2207.0
59,414,613.8,613.8,2207.0
60,420,612.6,613.8,2207.0
61,422,614.6,614.6,2207.0
62,429,633.8,633.8,2207.0
63,439,646.4,646.4,2207.0
64,446,664.1,664.1,2207.0
65,448,668.3,668.3,2207.0
66,453,669.5,669.5,2207.0
67,458,673.5,673.5,2207.0
68,467,688.9,688.9,2707.0
69,474,720.8,720.8,2707.0
70,479,722.4,722.4,2707.0
71,484,733.5,733.5,2707.0
72,488,738.8,738.8,2707.0
73,498,752.0,752.0,2707.0
74,505,763.9,763.9,2707.0
75,514,783.7,783.7,2707.0
76,517,786.0,786.0,2707.0
77,520,789.3,789.3,2707.0
78,527,776.9,789.3,2707.0
79,535,802.4,802.4,2707.0
80,542,798.3,802.4,2707.0
81,546,811.8,811.8,2707.0
82,555,828.2,828.2,2707.0
83,559,809.3,828.2,2707.0
84,565,828.3,828.3,2707.0
85,572,835.0,835.0,2777.0
86,578,838.9,838.9,2777.0
87,585,852.7,852.7,2777.0
88,589,854.1,854.1,2777.0
89,597,854.0,854.1,2777.0
90,603,857.2,857.2,2777.0
91,612,861.4,861.4,2777.0
92,617,884.7,884.7,2777.0
93,620,886.9,886.9,2777.0
94,626,891.8,891.8,2777.0
95,632,890.9,891.8,2777.0
96,639,908.3,908.3,2777.0
97,649,924.0,924.0,2777.0
98,655,909.9,924.0,2777.0
99,662,911.8,924.0,2777.0
100,664,909.5,924.0,2777.0
