iteration,episode,avg_score,best_score,best_avg_score
184,1235,931.2,3887.0,935.0
185,1239,948.9,3887.0,948.9
186,1250,964.3,3887.0,964.3
187,1255,980.3,3887.0,980.3
188,1262,974.3,3887.0,980.3
189,1265,981.4,3887.0,981.4
190,1270,974.0,3887.0,981.4
191,1271,970.8,3887.0,981.4
192,1284,971.9,3887.0,981.4
193,1289,971.2,3887.0,981.4
194,1296,965.2,3887.0,981.4
195,1301,945.7,3887.0,981.4
196,1308,928.3,3887.0,981.4
197,1310,928.6,3887.0,981.4
198,1317,944.7,3887.0,981.4
199,1328,955.3,3887.0,981.4
200,1330,959.3,3887.0,981.4
201,1338,944.1,3887.0,981.4
202,1344,935.6,3887.0,981.4
203,1351,910.8,3887.0,981.4
204,1357,903.5,3887.0,981.4
205,1363,893.7,3887.0,981.4
206,1365,891.2,3887.0,981.4
207,1374,897.9,3887.0,981.4
208,1381,900.6,3887.0,981.4
209,1386,911.7,3887.0,981.4
210,1394,919.3,3887.0,981.4
211,1398,920.2,3887.0,981.4
212,1407,923.0,3887.0,981.4
213,1410,921.3,3887.0,981.4
214,1413,909.8,3887.0,981.4
215,1422,896.3,3887.0,981.4
216,1428,906.8,3887.0,981.4
217,1433,920.1,3887.0,981.4
218,1440,904.3,3887.0,981.4
219,1444,920.4,3887.0,981.4
220,1448,928.3,3887.0,981.4
221,1455,938.7,3887.0,981.4
222,1463,988.6,3887.0,988.6
223,1468,994.0,3887.0,994.0
224,1474,1006.8,3887.0,1006.8
225,1479,1024.0,3887.0,1024.0
226,1486,1003.8,3887.0,1024.0
227,1491,1001.7,3887.0,1024.0
228,1501,1032.8,3887.0,1032.8
229,1507,1038.1,3887.0,1038.1
230,1512,1058.0,3887.0,1058.0
231,1518,1060.1,3887.0,1060.1
232,1526,1064.6,3887.0,1064.6
233,1530,1057.4,3887.0,1064.6
234,1533,1060.7,3887.0,1064.6
235,1538,1072.1,3887.0,1072.1
236,1546,1070.4,3887.0,1072.1
237,1554,1103.6,3887.0,1103.6
238,1559,1099.0,3887.0,1103.6
239,1562,1090.4,3887.0,1103.6
240,1570,1088.0,3887.0,1103.6
241,1574,1092.1,3887.0,1103.6
242,1584,1083.6,3887.0,1103.6
243,1586,1090.5,3887.0,1103.6
244,1591,1085.0,3887.0,1103.6
245,1598,1084.4,3887.0,1103.6
246,1605,1068.9,3887.0,1103.6
247,1611,1079.8,3887.0,1103.6
248,1615,1077.6,3887.0,1103.6
249,1620,1069.8,3887.0,1103.6
250,1630,1069.7,3887.0,1103.6
251,1636,1077.7,3887.0,1103.6
252,1639,1087.4,3887.0,1103.6
253,1643,1094.7,3887.0,1103.6
254,1653,1085.3,3887.0,1103.6
255,1662,1066.4,3887.0,1103.6
256,1666,1035.7,3887.0,1103.6
257,1671,1041.9,3887.0,1103.6
258,1676,1043.2,3887.0,1103.6
259,1680,1020.6,3887.0,1103.6
260,1689,1017.5,3887.0,1103.6
261,1698,1043.7,3887.0,1103.6
262,1701,1046.2,3887.0,1103.6
263,1704,1044.5,3887.0,1103.6
264,1707,1049.5,3887.0,1103.6
265,1713,1054.3,3887.0,1103.6
266,1726,1087.4,3887.0,1103.6
267,1731,1098.1,3887.0,1103.6
268,1735,1113.8,3887.0,1113.8
269,1739,1107.6,3887.0,1113.8
270,1744,1088.0,3887.0,1113.8
271,1750,1092.8,3887.0,1113.8
272,1756,1096.3,3887.0,1113.8
273,1760,1111.3,3887.0,1113.8
274,1763,1119.8,3887.0,1119.8
275,1769,1137.7,3887.0,1137.7
276,1775,1145.6,3887.0,1145.6
277,1785,1165.4,3887.0,1165.4
278,1790,1165.4,3887.0,1165.4
279,1794,1168.9,3887.0,1168.9
280,1798,1172.5,3887.0,1172.5
281,1805,1164.6,3887.0,1172.5
282,1814,1168.0,3887.0,1172.5
283,1815,1169.0,3887.0,1172.5
284,1820,1161.4,3887.0,1172.5
285,1823,1156.7,3887.0,1172.5
286,1835,1156.8,3887.0,1172.5
287,1840,1153.7,3887.0,1172.5
288,1844,1157.5,3887.0,1172.5
289,1850,1168.6,3887.0,1172.5
290,1855,1166.3,3887.0,1172.5
291,1862,1153.1,3887.0,1172.5
292,1867,1159.3,3887.0,1172.5
293,1869,1150.7,3887.0,1172.5
294,1878,1141.4,3887.0,1172.5
295,1884,1144.2,3887.0,1172.5
296,1892,1144.9,3887.0,1172.5
297,1896,1141.2,3887.0,1172.5
298,1897,1138.5,3887.0,1172.5
299,1906,1151.9,3887.0,1172.5
300,1913,1152.6,3887.0,1172.5
301,1918,1155.1,3887.0,1172.5
302,1924,1166.0,3887.0,1172.5
303,1929,1152.4,3887.0,1172.5
304,1935,1145.3,3887.0,1172.5
305,1939,1136.3,3887.0,1172.5
306,1945,1135.0,3887.0,1172.5
307,1952,1142.6,3887.0,1172.5
308,1959,1145.0,3887.0,1172.5
309,1963,1136.6,3887.0,1172.5
310,1968,1129.1,3887.0,1172.5
311,1974,1139.0,3887.0,1172.5
312,1981,1119.4,3887.0,1172.5
313,1986,1143.6,3887.0,1172.5
314,1991,1147.1,3887.0,1172.5
315,1998,1154.3,3887.0,1172.5
316,2004,1149.6,3887.0,1172.5
317,2008,1149.9,3887.0,1172.5
318,2015,1138.4,3887.0,1172.5
319,2023,1124.5,3887.0,1172.5
320,2027,1115.7,3887.0,1172.5
321,2034,1118.3,3887.0,1172.5
322,2037,1127.3,3887.0,1172.5
323,2041,1138.1,3887.0,1172.5
324,2051,1119.1,3887.0,1172.5
325,2059,1129.3,3887.0,1172.5
326,2064,1141.6,3887.0,1172.5
327,2066,1144.1,3887.0,1172.5
328,2069,1163.2,3887.0,1172.5
329,2078,1152.2,3887.0,1172.5
330,2087,1140.1,3887.0,1172.5
331,2095,1126.8,3887.0,1172.5
332,2097,1134.0,3887.0,1172.5
333,2102,1127.8,3887.0,1172.5
334,2110,1115.8,3887.0,1172.5
335,2117,1105.8,3887.0,1172.5
336,2122,1116.8,3887.0,1172.5
337,2126,1111.4,3887.0,1172.5
338,2132,1102.5,3887.0,1172.5
339,2139,1096.6,3887.0,1172.5
340,2145,1099.4,3887.0,1172.5
341,2151,1096.2,3887.0,1172.5
342,2158,1069.8,3887.0,1172.5
343,2163,1070.1,3887.0,1172.5
344,2167,1059.4,3887.0,1172.5
345,2172,1054.4,3887.0,1172.5
346,2180,1063.8,3887.0,1172.5
347,2186,1068.5,3887.0,1172.5
348,2191,1076.9,3887.0,1172.5
349,2195,1076.4,3887.0,1172.5
350,2202,1102.7,4097.0,1172.5
351,2211,1101.8,4097.0,1172.5
352,2214,1105.7,4097.0,1172.5
353,2221,1104.8,4097.0,1172.5
354,2227,1096.3,4097.0,1172.5
355,2231,1086.6,4097.0,1172.5
356,2233,1088.5,4097.0,1172.5
357,2241,1112.8,4097.0,1172.5
358,2249,1109.4,4097.0,1172.5
359,2255,1118.2,4097.0,1172.5
360,2264,1118.8,4097.0,1172.5
361,2267,1116.4,4097.0,1172.5
362,2272,1114.6,4097.0,1172.5
363,2276,1103.6,4097.0,1172.5
364,2287,1089.9,4097.0,1172.5
365,2293,1085.4,4097.0,1172.5
366,2297,1060.7,4097.0,1172.5
367,2301,1079.9,4097.0,1172.5
368,2307,1086.7,4097.0,1172.5
369,2314,1100.6,4097.0,1172.5
370,2320,1105.9,4097.0,1172.5
371,2324,1100.5,4097.0,1172.5
372,2328,1111.1,4097.0,1172.5
373,2336,1135.8,4097.0,1172.5
374,2339,1124.9,4097.0,1172.5
375,2349,1131.6,4097.0,1172.5
376,2352,1132.0,4097.0,1172.5
377,2358,1139.5,4097.0,1172.5
378,2363,1137.7,4097.0,1172.5
379,2368,1142.1,4097.0,1172.5
380,2376,1146.6,4097.0,1172.5
381,2379,1139.9,4097.0,1172.5
382,2385,1158.6,4097.0,1172.5
383,2389,1166.9,4097.0,1172.5
384,2394,1166.8,4097.0,1172.5
385,2404,1149.9,4097.0,1172.5
386,2411,1135.9,4097.0,1172.5
387,2412,1129.2,4097.0,1172.5
388,2417,1133.1,4097.0,1172.5
389,2422,1121.1,4097.0,1172.5
390,2429,1122.0,4097.0,1172.5
391,2436,1124.4,4097.0,1172.5
392,2440,1120.3,4097.0,1172.5
393,2445,1131.5,4097.0,1172.5
394,2451,1119.0,4097.0,1172.5
395,2460,1127.9,4097.0,1172.5
396,2464,1134.7,4097.0,1172.5
397,2469,1128.4,4097.0,1172.5
398,2474,1148.5,4097.0,1172.5
399,2481,1149.8,4097.0,1172.5
400,2485,1156.0,4097.0,1172.5
401,2487,1188.6,4427.0,1188.6
402,2494,1199.8,4427.0,1199.8
403,2500,1190.5,4427.0,1199.8
404,2514,1247.7,4427.0,1247.7
405,2516,1245.3,4427.0,1247.7
406,2520,1268.8,4427.0,1268.8
407,2524,1271.7,4427.0,1271.7
408,2530,1253.0,4427.0,1271.7
409,2535,1234.1,4427.0,1271.7
410,2542,1287.9,4427.0,1287.9
411,2549,1291.4,4427.0,1291.4
412,2550,1296.1,4427.0,1296.1
413,2554,1303.3,4427.0,1303.3
414,2560,1301.3,4427.0,1303.3
415,2570,1270.4,4427.0,1303.3
416,2577,1265.3,4427.0,1303.3
417,2580,1271.8,4427.0,1303.3
418,2586,1233.6,4427.0,1303.3
419,2590,1228.7,4427.0,1303.3
420,2599,1223.2,4427.0,1303.3
421,2606,1225.8,4427.0,1303.3
422,2608,1217.5,4427.0,1303.3
423,2613,1192.3,4427.0,1303.3
424,2618,1182.0,4427.0,1303.3
425,2630,1191.5,4427.0,1303.3
426,2632,1187.7,4427.0,1303.3
427,2636,1178.6,4427.0,1303.3
428,2643,1177.2,4427.0,1303.3
429,2648,1162.2,4427.0,1303.3
430,2656,1138.7,4427.0,1303.3
431,2659,1148.2,4427.0,1303.3
432,2669,1162.8,4427.0,1303.3
433,2672,1166.0,4427.0,1303.3
434,2677,1154.4,4427.0,1303.3
435,2683,1145.4,4427.0,1303.3
436,2688,1148.1,4427.0,1303.3
437,2692,1157.1,4427.0,1303.3
438,2698,1166.4,4427.0,1303.3
439,2708,1153.9,4427.0,1303.3
440,2713,1144.6,4427.0,1303.3
441,2716,1173.3,4427.0,1303.3
442,2721,1152.5,4427.0,1303.3
443,2730,1172.0,4427.0,1303.3
444,2738,1156.9,4427.0,1303.3
445,2743,1152.3,4427.0,1303.3
446,2747,1151.7,4427.0,1303.3
447,2751,1150.2,4427.0,1303.3
448,2761,1142.0,4427.0,1303.3
449,2764,1177.4,4427.0,1303.3
450,2770,1178.4,4427.0,1303.3
451,2774,1181.4,4427.0,1303.3
452,2780,1206.9,4427.0,1303.3
453,2784,1219.9,4427.0,1303.3
454,2790,1214.1,4427.0,1303.3
