iteration,episode,avg_score,best_score,best_avg_score
1,12,-6.0,-6.0,-6.0
2,34,-6.0,-6.0,-6.0
3,58,-6.0,-6.0,-6.0
4,73,-6.0,-6.0,-6.0
5,90,-6.0,-6.0,-6.0
6,102,-6.0,-6.0,-6.0
7,114,-6.0,-6.0,-6.0
8,119,-6.0,-6.0,-6.0
9,120,-6.0,-6.0,-6.0
10,123,-6.0,-6.0,-6.0
151,124,-6.0,-6.0,-6.0
214,125,-6.0,-6.0,-6.0
327,126,-6.0,-6.0,-6.0
340,128,-6.0,-6.0,-6.0
403,129,-6.0,-6.0,-6.0
404,130,-6.0,-6.0,-6.0
409,131,-6.0,-6.0,-6.0
560,132,-6.0,-6.0,-6.0
720,135,-6.0,-6.0,-6.0
722,137,-6.0,-6.0,-6.0
725,138,-6.0,-6.0,-6.0
727,139,-6.0,-6.0,-6.0
781,164,-5.49,-1.0,-5.49
782,165,-5.45,-1.0,-5.45
783,174,-5.25,-1.0,-5.25
784,192,-4.66,0.0,-4.66
785,203,-4.34,0.0,-4.34
786,215,-4.0,0.0,-4.0
787,229,-3.48,0.0,-3.48
788,240,-3.07,0.0,-3.07
789,245,-3.02,0.0,-3.02
790,248,-2.96,0.0,-2.96
791,250,-2.89,0.0,-2.89
792,251,-2.89,0.0,-2.89
933,252,-2.9,0.0,-2.89
996,253,-2.87,0.0,-2.87
1108,254,-2.84,0.0,-2.84
1121,256,-2.75,0.0,-2.75
1184,257,-2.71,0.0,-2.71
1185,258,-2.72,0.0,-2.71
1191,259,-2.68,0.0,-2.68
1341,260,-2.64,0.0,-2.64
1501,262,-2.58,0.0,-2.58
1502,263,-2.56,0.0,-2.56
1503,264,-2.51,0.0,-2.51
1504,265,-2.5,0.0,-2.5
1507,266,-2.48,0.0,-2.48
1508,267,-2.46,0.0,-2.46
1562,292,-1.74,0.0,-1.74
1564,301,-1.49,0.0,-1.49
1565,314,-1.08,0.0,-1.08
1566,328,-0.83,0.0,-0.83
1567,339,-0.59,0.0,-0.59
1568,354,-0.31,0.0,-0.31
1569,364,-0.24,0.0,-0.24
1570,372,-0.22,0.0,-0.22
1571,376,-0.26,0.0,-0.22
1572,378,-0.27,0.0,-0.22
1573,379,-0.27,0.0,-0.22
1714,380,-0.27,0.0,-0.22
1777,381,-0.27,0.0,-0.22
1889,382,-0.27,0.0,-0.22
1903,384,-0.29,0.0,-0.22
1966,385,-0.29,0.0,-0.22
1967,386,-0.29,0.0,-0.22
1972,387,-0.29,0.0,-0.22
2122,388,-0.29,0.0,-0.22
2283,391,-0.29,0.0,-0.22
2284,392,-0.3,0.0,-0.22
2285,393,-0.29,0.0,-0.22
2288,394,-0.29,0.0,-0.22
2289,395,-0.3,0.0,-0.22
2343,420,-0.56,0.0,-0.22
2345,427,-0.58,0.0,-0.22
2346,438,-0.58,0.0,-0.22
2347,455,-0.61,0.0,-0.22
2348,462,-0.66,0.0,-0.22
2349,479,-0.63,0.0,-0.22
2350,488,-0.64,0.0,-0.22
2351,498,-0.6,0.0,-0.22
2352,504,-0.52,0.0,-0.22
2353,505,-0.51,0.0,-0.22
2354,507,-0.5,0.0,-0.22
2495,508,-0.5,0.0,-0.22
2558,509,-0.49,0.0,-0.22
2670,510,-0.48,0.0,-0.22
2684,512,-0.48,0.0,-0.22
2747,513,-0.45,0.0,-0.22
