iteration,episode,policy,value,entropy
44,100,-0.002881508036807645,9.393732398166321e-06,-2.7963021099567413
45,100,-0.0030978325521573424,5.914652980720803e-06,-2.7946120500564575
46,100,-0.003349150501890108,4.165644725162565e-06,-2.7765791453421116
47,100,-0.0028788857962354086,2.728692894748974e-06,-2.774895954877138
48,100,-0.0018595540341266314,1.5144371916520072e-05,-2.763612810522318
49,100,-0.0005584824866673443,1.1894018157931896e-05,-2.763869982212782
50,100,-0.003474963392363861,1.2740306214453767e-06,-2.7603252306580544
51,100,-0.0036176184803480282,1.1781121207476986e-06,-2.775240261107683
52,100,-0.003685365656565409,1.0999469512995574e-06,-2.776597250252962
53,100,-0.0029189588531153277,9.566417409345718e-07,-2.7705002650618553
54,100,-0.0026515705976635218,9.016813136142332e-07,-2.7705604024231434
55,100,-0.003080157985095866,7.915976567574035e-07,-2.773315202444792
56,100,-0.003148942625557538,6.359873134798022e-07,-2.7795785516500473
57,100,-0.0017595962708583102,0.00027899764981498265,-2.78320374712348
58,100,-0.003829140347079374,4.033355278210138e-06,-2.779069509357214
59,100,-0.003336160385515541,3.26326126653953e-06,-2.7749413810670376
60,100,-0.004402509395731613,1.8106902501813238e-06,-2.764838807284832
61,100,-0.004382193394121714,1.375800428249363e-06,-2.7623734064400196
62,100,-0.0013503810478141531,0.00019786246886432934,-2.7717651836574078
63,100,-0.002483955493516987,4.3086842076434095e-06,-2.7706199549138546
64,100,-0.004234769628965296,2.196768248197145e-06,-2.762598428875208
65,100,-0.00426820481516188,1.3988545770615701e-06,-2.7494023963809013
66,100,-0.004376982331450563,1.320889094102995e-06,-2.7577412240207195
67,100,-0.003309678580990294,2.1389729099041688e-06,-2.758928995579481
68,100,-0.0036163568693154957,1.7195338255504566e-06,-2.759042337536812
69,100,-0.0032224637870967854,4.715788564979562e-06,-2.762870568782091
70,100,-0.0034120401287509594,1.0676564077272133e-06,-2.763036832213402
71,100,-0.005180864718568046,4.810634228746835e-07,-2.7556167654693127
72,100,-0.004424001464940375,3.726066348797019e-07,-2.7557508796453476
73,100,-0.004019551328383386,3.158823802529298e-07,-2.751061525195837
74,100,-0.0044691477523883805,4.4403085297517464e-07,-2.7404122203588486
75,100,-0.005096655178931542,3.945655744352905e-07,-2.7477891631424427
76,100,-0.004540704881947022,3.7998382107495843e-07,-2.7424733638763428
77,100,-0.0045411242172122,5.571581076502241e-07,-2.743072409182787
78,100,-0.004792607265699189,4.196849132664937e-07,-2.7511132284998894
79,100,-0.004461348420591094,2.9385879041221585e-07,-2.7476617582142353
80,100,-0.0011333470210956875,3.572352847314164e-05,-2.741826433688402
81,100,-0.005893426663533319,7.266300410257998e-07,-2.7423242814838886
82,100,-0.005582881276495755,3.149257103984837e-07,-2.7419068329036236
83,100,-0.005781218838819768,1.8720156713669667e-07,-2.7362771220505238
84,100,-0.005027776038332377,1.280474136722276e-07,-2.733733668923378
85,100,-0.005091196100693196,8.569406217961983e-08,-2.7353511713445187
86,100,-0.005422665177320596,8.837115422766217e-08,-2.7408031783998013
87,100,-0.0018188984649896156,0.00040729100315672895,-2.745884735137224
88,100,-0.004940432736475486,1.4133077030464847e-05,-2.7401135861873627
89,100,-0.005874839578609681,3.4119407352761755e-06,-2.7284797951579094
90,100,-0.004825238022021949,1.709661543003449e-06,-2.733092125505209
91,100,-0.005925731064053252,1.4905306642276628e-06,-2.7369108609855175
92,100,-0.0060820199505542405,8.043947650193672e-07,-2.7326652258634567
93,100,-0.0022684072755509987,0.00024794847244891116,-2.722032990306616
94,100,-0.005689056342816912,7.3193476239907795e-06,-2.7358147092163563
95,100,-0.006013708396494621,3.103214108790553e-06,-2.721215397119522
96,100,-0.005759839485108387,1.551382482034569e-06,-2.7195171788334846
97,100,-0.005633423446852248,8.562472029183255e-07,-2.7159999199211597
98,100,-0.005109069592435844,4.751500166655376e-07,-2.7224145233631134
99,100,-0.005942085655988194,3.521489935209843e-07,-2.7126490250229836
100,100,-0.005497613696206827,3.9649111616135713e-07,-2.7128195874392986
101,100,-0.0037028822480351664,8.176089028033573e-07,-2.7027295120060444
102,100,-0.0032924205479503144,6.453627121594252e-07,-2.6932685673236847
103,100,-0.0015178255926002748,0.0003408189507696502,-2.701837908476591
104,100,-0.00376609196246136,5.506970092028496e-05,-2.7042088247835636
105,100,-0.0032641946600051597,1.4343022975538133e-05,-2.7063756324350834
106,100,-0.004583260422805324,5.056238787659595e-06,-2.7033167369663715
107,100,-0.0059243825016892515,1.8751056671817423e-06,-2.6953512839972973
108,100,-0.005886639308300801,1.3568893244553237e-06,-2.6961066983640194
109,100,-0.004921278487017844,1.1405261304275882e-06,-2.6898598670959473
110,100,-0.006004220951581374,9.411271015835609e-07,-2.688932988792658
111,100,-0.005901444092160091,7.200349276814677e-07,-2.685087390244007
112,100,-0.006106687840656377,5.773814355514162e-07,-2.679859783500433
113,100,-0.00660133682686137,5.824321753777895e-07,-2.6950709261000156
114,100,-0.0066274421697016805,2.7905721533549865e-07,-2.688359022140503
115,100,-0.006125691747001838,2.1294897423196346e-07,-2.6837662868201733
116,100,-0.006095865108363796,1.4867204045643234e-07,-2.6748224645853043
117,100,-0.004046079498948529,3.2475618372274084e-07,-2.664844047278166
118,100,-0.004096973534615245,1.9294428876825975e-07,-2.669706776738167
119,100,-0.003970326597482199,2.507597567369402e-07,-2.670810107141733
120,100,-0.006753898174792994,1.0770626002187811e-07,-2.660298027098179
121,100,-0.00571011555075529,8.822855396273255e-08,-2.674951981753111
122,100,-0.006177827388455626,5.8176087780470453e-08,-2.6774851493537426
